"Nama","Review",""
"Nurma Andriyani Chanel","Parah banget aplikasi jelek, sy tf u kuliner tf sdh sesuai tapi aplikasi eror, telp call center katanya di refund, boro2 di refund, riwayat refundnya saja hilang di hapus, uang juga ga kembali. Parah banget! Duuh traveloka Hati2 uang gak halal tuh masuk rekening.",""
"Desi Ariyanti","pembayaran paylater bagus kok di blokir kan tolol ? diminta solusinya cs malah balesnya itu itu aja tolol? sampah aplikasi paylater? kaga bisa cari solusinya tolol",""
"Ong Tommy Tommy","Kecewa dengan biaya asuransi yg di tambahkan. Percuma ga bisa bantu claim. Bagi yg mau beli tiket di tambah biaya asuransi mending pikir2 dlu.",""
"Labib Firzy","Ini gimana... Pertama kali mau pakai aplikasi ini untuk pesan kereta kok kayaknya di persulit... Padahal pesanya kelas bisnis",""
"Reflan Lolong","Payah. Uang refound tidak 100%. Padahal saya beli 900ribuan tapi yg kembali hnya 700ribuan.",""
"N Diana","Gw pesen tiket kereta api dari jam 6 sampe detik ini e-tiket nya ga ad terbit2in ,nlp puluhan x jawaban nya d usahakan maksimal.! Lo aplikasi perusahaan gede, ga ada ngasih kejelasan dapet tiket atau refund .! Ngabisin duit gak jelas",""
"Sally Febriyanti","Kenapa pas kita udah booking eh tiba2 harga langsung naik tinggi..bukan sekali dua kali..udah 5x..di tampilan harga segini..kita udah boking n isi data..pas pembayaran langsung berubah naik...Kecewa jadii nya..??",""
"soemarsono anton","Bisa gak di rubah tanggal hotel, saya sudah urus tgl 1 november, ini tgl 2 november belum bisa juga, tolong saya karena di gantung terus urusan nya ini, tolong berikan pelayanan yang terbaik yah",""
"Aldeo Yuprianto","MENGECEWAKAN BOOKING HOTEL , TAPI KODE BOKING TIDAK KELUAR, DI SURUH TUNGGU TAPI GAK ADA KEJELASAN SAMPAI SEKARANG, SUDAH KOMPLAIN. TAPI TIDAK ADA KEJELASAN TERKAIT HOTEL YG SUDAH DI BOOKNG.",""
"hendik sedyono","Ini aplikasi kok susah banget semalam tiket kereta habis giliran pagi masih ada tapi tidak bisa dibooking karena tiket penuh...tolong donk diperbaiki...mengecewakan sekali",""
"arif setiyo","Mnta bantuanya dong pihak traveloka , saya pesen hotel di sini mau refund gak bisa, pdhal sudh bayar ,masa duit saya angus??",""
"Hendra Aska","Busuk!!! Saya pelanggan lama tp tadi malam saya dikecewakan bener2 kecewa!!!",""
